Dataset	Nós	Limiar	algoritmo	tempo execução	taxa aproximação atingida	custo caminho atingido	Espaço (MB) usado
eil51	51	426	christofides	0.5948731899261475	1.128026040502257	480.53909325396154	0.6229066848754883
berlin52	52	7542	christofides	0.4671452045440674	1.1354819505887925	8563.804871340673	0.5930709838867188
st70	70	675	christofides	2.2243216037750244	1.1320089440122467	764.1060372082666	0.9584388732910156
eil76	76	538	christofides	2.755405902862549	1.153658552752454	620.6683013808204	1.1135196685791016
pr76	76	108159	christofides	1.308452844619751	1.0788148433877394	116683.53464597449	1.0865211486816406
rat99	99	1211	christofides	2.6908018589019775	1.1291758701259091	1367.431978722476	1.9489288330078125
rd100	100	7910	christofides	3.9680848121643066	1.125852393317651	8905.492431142618	2.0013809204101562
kroE100	100	22068	christofides	2.6380927562713623	1.0793532101793029	23819.166642236854	1.994095802307129
kroD100	100	21294	christofides	1.5096397399902344	1.1170635239813973	23786.750679659875	1.9853744506835938
kroC100	100	20749	christofides	1.0748255252838135	1.0967028245779895	22755.486907168703	1.98736572265625
kroB100	100	22141	christofides	0.8870375156402588	1.084377148378703	24009.194442252865	1.9848098754882812
kroA100	100	21282	christofides	1.0977747440338135	1.0944922778117776	23292.98465639025	1.9857425689697266
eil101	101	629	christofides	1.5997364521026611	1.1519184118961743	724.5566810826937	2.04018497467041
lin105	105	14379	christofides	1.2729997634887695	1.1468550336305054	16490.628528573037	2.1750717163085938
pr107	107	44303	christofides	0.7476115226745605	1.0813927442401763	47908.94274807253	2.2515869140625
pr124	124	59030	christofides	0.6585156917572021	1.0955046191615423	64667.63766910584	2.9694442749023438
bier127	127	118282	christofides	3.4487545490264893	1.127144336640161	133320.88642647152	3.100982666015625
ch130	130	6110	christofides	1.529052495956421	1.1190705898299793	6837.521303861174	3.2374267578125
pr136	136	96772	christofides	0.384000301361084	1.072344400423912	103772.91231782282	3.5254287719726562
pr144	144	58537	christofides	0.4483177661895752	1.2062729788425255	70611.60136250491	3.9234695434570312
ch150	150	6528	christofides	1.5213017463684082	1.0973350223499123	7163.4030259002275	4.240325927734375
kroA150	150	26524	christofides	3.5930440425872803	1.1068027389714161	29356.835848477844	4.240325927734375
kroB150	150	26130	christofides	5.777183532714844	1.1417053812372089	29832.76161172827	4.2408599853515625
pr152	152	73682	christofides	0.579401969909668	1.0752569451717289	79227.08223414332	4.345100402832031
u159	159	42080	christofides	3.1376869678497314	1.1143447677446916	46891.627826696626	4.730499267578125
rat195	195	2323	christofides	5.212190866470337	1.144678981355286	2659.0892736883293	7.824531555175781
d198	198	15780	christofides	5.496469497680664	1.0973616248732347	17316.366440499645	8.052139282226562
kroB200	200	29437	christofides	7.586889028549194	1.1143470794280734	32803.034977124196	8.198432922363281
kroA200	200	29368	christofides	10.524174451828003	1.1234548762882552	32993.62280683348	8.198417663574219
ts225	225	126643	christofides	0.8914742469787598	1.0603205101173654	134282.1703627935	10.13629150390625
tsp225	225	3919	christofides	5.006903171539307	1.1128075828616117	4361.092917234657	10.13629150390625
pr226	226	80369	christofides	3.6122922897338867	1.1489866842607086	92342.91082734888	10.177169799804688
gil262	262	2378	christofides	11.562489032745361	1.1303723688758105	2688.0254931866775	13.355728149414062
pr264	264	49135	christofides	3.310195207595825	1.1097430871218537	54527.22658573228	13.576118469238281
a280	280	2579	christofides	8.550661325454712	1.153698792395559	2975.3891855881466	15.118965148925781
pr299	299	48191	christofides	11.720479011535645	1.0997805632834305	52999.5251251918	17.063159942626953
lin318	318	42029	christofides	15.103244304656982	1.129329052824647	47464.57076116709	19.119400024414062
linhp318	318	41345	christofides	15.395119190216064	1.1480123536380962	47464.57076116709	19.119400024414062
rd400	400	15281	christofides	49.733418226242065	1.1355412972907708	17352.20656390027	32.90595245361328
fl417	417	11861	christofides	19.9693284034729	1.1297051303718675	13399.43255134072	35.341224670410156
pr439	439	107217	christofides	19.67072820663452	1.1226105320841524	120362.93341846658	38.8167724609375
pcb442	442	50778	christofides	69.69563508033752	1.0806200518976194	54871.72499525732	39.279541015625
d493	493	35002	christofides	89.28835487365723	1.094723093944023	38317.49773422869	47.86103057861328
u574	574	36905	christofides	141.4674813747406	1.114874970502594	41144.46078639823	63.245635986328125
rat575	575	6773	christofides	152.02764749526978	1.1565064955358002	7833.018494263975	63.447906494140625
p654	654	34643	christofides	16.23194694519043	1.1347458832930766	39311.00163492205	80.24397277832031
d657	657	48912	christofides	272.79098415374756	1.1212208577039584	54841.15459201601	81.11439895629883
u724	724	41910	christofides	250.25771760940552	1.151319952191041	48251.819196326534	110.07866287231445
rat783	783	8806	christofides	397.0754976272583	1.1434827656427624	10069.509234250167	126.47018432617188
pr1002	1002	259045	christofides	629.5685131549835	1.1056920486506865	286423.9967427171	196.7876853942871
u1060	1060	224094	christofides	990.4165668487549	1.1106621147594768	248892.71594491022	218.15612411499023
vm1084	1084	239297	christofides	428.70618987083435	1.093823439406958	261748.66757976683	227.5551414489746
pcb1173	1173	56892	christofides	813.0531058311462	1.1142387698455622	63391.27209405373	262.8001136779785
d1291	1291	50801	christofides	191.00176763534546	1.1256333682506048	57183.30074049898	313.18410873413086
rl1304	1304	252948	christofides	230.1506266593933	1.0969350130312086	277467.5176762181	319.725154876709
rl1323	1323	270199	christofides	275.8946695327759	1.0996541205158143	297125.4437092525	328.15097427368164
nrw1379	1379	56638	christofides				
fl1400	1400	20127	christofides				
u1432	1432	152970	christofides				
fl1577	1577	[22204,22249]	christofides				
d1655	1655	62128	christofides				
vm1748	1748	336556	christofides				
u1817	1817	57201	christofides				
rl1889	1889	316536	christofides				
d2103	2103	[79952,80450]	christofides				
u2152	2152	64253	christofides				
u2319	2319	234256	christofides				
pr2392	2392	378032	christofides				
pcb3038	3038	137694	christofides				
fl3795	3795	[28723,28772]	christofides				
fnl4461	4461	182566	christofides				
rl5915	5915	[565040,565530]	christofides				
rl5934	5934	[554070,556045]	christofides				
rl11849	11849	[920847,923368]	christofides				
usa13509	13509	[19947008,19982889]	christofides				
brd14051	14051	[468942,469445]	christofides				
d15112	15112	[1564590,1573152]	christofides				
d18512	18512	[644650,645488]	christofides				
