Dataset	Nós	Limiar	algoritmo	tempo execução	taxa aproximação atingida	custo caminho atingido	Espaço (MB) usado
eil51	51	426	twice_around_the_tree	0.09775114059448242	1.5044629646129124	640.9012229251007	0.5847549438476562
berlin52	52	7542	twice_around_the_tree	0.08051061630249023	1.3412907047879643	10116.014495510826	0.49658203125
st70	70	675	twice_around_the_tree	0.2153174877166748	1.293854052847015	873.3514856717352	0.89239501953125
eil76	76	538	twice_around_the_tree	0.1318676471710205	1.3144113752066555	707.1533198611806	1.0015335083007812
pr76	76	108159	twice_around_the_tree	0.15759682655334473	1.3437449907251222	145338.11445183848	1.0014266967773438
rat99	99	1211	twice_around_the_tree	0.37905406951904297	1.4229769158966652	1723.2250451508614	2.0925216674804688
rd100	100	7910	twice_around_the_tree	0.2541162967681885	1.3643054128888372	10791.655815950702	1.9846420288085938
kroE100	100	22068	twice_around_the_tree	0.38025355339050293	1.3824279067801102	30507.419046823474	1.9846420288085938
kroD100	100	21294	twice_around_the_tree	0.4468953609466553	1.2732833962819095	27113.29664042698	1.9846420288085938
kroC100	100	20749	twice_around_the_tree	0.22714924812316895	1.3478500825944204	27966.54136375163	1.9846267700195312
kroB100	100	22141	twice_around_the_tree	0.18825578689575195	1.1689264212856523	25881.199893685625	1.9846267700195312
kroA100	100	21282	twice_around_the_tree	0.18108177185058594	1.2786241767322784	27211.67972921635	1.9847955703735352
eil101	101	629	twice_around_the_tree	0.21628952026367188	1.320416864157215	830.5422075548881	2.0207443237304688
lin105	105	14379	twice_around_the_tree	0.23978924751281738	1.3560337150576274	19498.408788813624	2.1748886108398438
pr107	107	44303	twice_around_the_tree	0.2317807674407959	1.2242520057728703	54238.03661175547	2.2536659240722656
pr124	124	59030	twice_around_the_tree	0.3866736888885498	1.2559877968538857	74140.95964828487	2.9692001342773438
bier127	127	118282	twice_around_the_tree	0.49109315872192383	1.341181296893765	158637.60615918832	3.100250244140625
ch130	130	6110	twice_around_the_tree	0.28961706161499023	1.3304021736711864	8128.757281130948	3.2371826171875
pr136	136	96772	twice_around_the_tree	0.45737242698669434	1.5698109163978895	151913.74200165656	3.5251846313476562
pr144	144	58537	twice_around_the_tree	0.3345165252685547	1.3768440481741249	80596.32004796875	3.9232254028320312
ch150	150	6528	twice_around_the_tree	0.6306412220001221	1.2765735554670907	8333.472170089168	4.239921569824219
kroA150	150	26524	twice_around_the_tree	0.20531463623046875	1.3241806213640215	35122.56680105931	4.240631103515625
kroB150	150	26130	twice_around_the_tree	0.19729375839233398	1.3836484477729756	36154.73394030785	4.2400665283203125
pr152	152	73682	twice_around_the_tree	0.2113513946533203	1.1943038188622066	87998.6939814051	4.344856262207031
u159	159	42080	twice_around_the_tree	0.25606441497802734	1.3732883652612995	57787.974410195486	4.730255126953125
rat195	195	2323	twice_around_the_tree	0.6804795265197754	1.428206307385696	3317.723252056972	7.824127197265625
d198	198	15780	twice_around_the_tree	0.3574848175048828	1.217898165675931	19218.43305436619	8.052444458007812
kroB200	200	29437	twice_around_the_tree	0.38486337661743164	1.3829860338688	40710.95987899587	8.198188781738281
kroA200	200	29368	twice_around_the_tree	0.49801015853881836	1.363077715581317	40030.86635119212	8.198013305664062
ts225	225	126643	twice_around_the_tree	0.4576890468597412	1.48456449728238	188009.70162933244	10.1365966796875
tsp225	225	3919	twice_around_the_tree	0.49298954010009766	1.305417856923817	5115.932581284439	10.13604736328125
pr226	226	80369	twice_around_the_tree	0.7348666191101074	1.4519547800169565	116692.15371518278	10.176765441894531
gil262	262	2378	twice_around_the_tree	0.7965621948242188	1.4121758522953278	3358.1541767582894	13.355873107910156
pr264	264	49135	twice_around_the_tree	0.6416153907775879	1.3527392235541527	66466.8417493333	13.576423645019531
a280	280	2579	twice_around_the_tree	1.6945040225982666	1.4074138445557347	3629.7203051092397	15.118560791015625
pr299	299	48191	twice_around_the_tree	0.8936655521392822	1.341454518891923	64646.03471992065	17.06293487548828
lin318	318	42029	twice_around_the_tree	1.3284242153167725	1.3834600375230452	58145.441917056065	19.120098114013672
linhp318	318	41345	twice_around_the_tree	1.1356699466705322	1.406347609555111	58145.441917056065	19.119544982910156
rd400	400	15281	twice_around_the_tree	2.131577491760254	1.3251997084151985	20250.376744292647	32.906097412109375
fl417	417	11861	twice_around_the_tree	2.2343828678131104	1.3740135435791194	16297.174640391935	35.479042053222656
pr439	439	107217	twice_around_the_tree	2.1952171325683594	1.34889204023657	144624.15787804432	38.816917419433594
pcb442	442	50778	twice_around_the_tree	2.141822338104248	1.3660424299142642	69364.90250618651	39.41680908203125
d493	493	35002	twice_around_the_tree	3.1252517700195312	1.297842661763193	45427.08884703529	47.86176681518555
u574	574	36905	twice_around_the_tree	4.1685895919799805	1.3299865042196892	49083.15193822763	63.24584197998047
rat575	575	6773	twice_around_the_tree	3.931790590286255	1.3936119051174758	9438.933433360664	63.44805145263672
p654	654	34643	twice_around_the_tree	5.025841236114502	1.4355539480460753	49731.89542216019	80.24470901489258
d657	657	48912	twice_around_the_tree	5.158413648605347	1.3438459621443237	65730.19370040316	81.11531448364258
u724	724	41910	twice_around_the_tree	7.12279748916626	1.3786606512269666	57779.66789292217	110.07841873168945
rat783	783	8806	twice_around_the_tree	8.507116079330444	1.3688908876607937	12054.453156740949	126.33327865600586
pr1002	1002	259045	twice_around_the_tree	12.301323652267456	1.321177642478497	342244.46239584225	196.78760147094727
u1060	1060	224094	twice_around_the_tree	14.036996126174927	1.3517312661960685	302914.8663669418	218.01807022094727
vm1084	1084	239297	twice_around_the_tree	14.258854627609253	1.3174772301748483	315268.3487491507	227.5548973083496
pcb1173	1173	56892	twice_around_the_tree	18.789506912231445	1.418387345544943	80694.8928627429	262.79926681518555
d1291	1291	50801	twice_around_the_tree	30.98966932296753	1.4696225922723294	74658.29731002661	313.18386459350586
rl1304	1304	252948	twice_around_the_tree	24.998629331588745	1.3749172570706139	347782.57034149766	319.72436141967773
rl1323	1323	270199	twice_around_the_tree	26.95366859436035	1.4079311455787364	380421.587604229	328.1505699157715
nrw1379	1379	56638	twice_around_the_tree	33.18818974494934	1.397582278070714	79156.2650653691	403.4012794494629
fl1400	1400	20127	twice_around_the_tree	31.966583967208862	1.3869689212101481	27915.52347719665	413.99045181274414
u1432	1432	152970	twice_around_the_tree	30.25778031349182	1.4017832290508725	214430.78054791197	430.3862419128418
fl1577	1577	[22204,22249]	twice_around_the_tree	40.22433137893677	1.4061924278046138	31223.096666973648	508.07299423217773
d1655	1655	62128	twice_around_the_tree	53.47273397445679	1.3791056917466216	85681.0784168341	557.2981147766113
vm1748	1748	336556	twice_around_the_tree	53.17863392829895	1.3212025099607339	444658.6319423448	614.7804145812988
u1817	1817	57201	twice_around_the_tree	64.4636549949646	1.459791887806316	83501.55577440909	658.0844230651855
rl1889	1889	316536	twice_around_the_tree	64.42712616920471	1.4210436985784265	449811.48817322083	706.5538444519043
d2103	2103	[79952,80450]	twice_around_the_tree	63.55782127380371	1.5576079598249652	124533.87160392563	857.3280143737793
u2152	2152	64253	twice_around_the_tree	86.15540480613708	1.4797163686512498	95076.21583494876	895.0842094421387
u2319	2319	234256	twice_around_the_tree	86.67337846755981	1.3683015206772815	320532.84102777723	1025.8484153747559
pr2392	2392	378032	twice_around_the_tree	102.46130728721619	1.3838323394299639	523132.9069393881	1087.7080116271973
pcb3038	3038	137694	twice_around_the_tree	284.3278880119324	1.427614124231709	196573.89922196095	1909.4274406433105
fl3795	3795	[28723,28772]	twice_around_the_tree	1032.5393722057343	1.360332574887732	39072.83254850032	2835.2548484802246
fnl4461	4461	182566	twice_around_the_tree				
